tag,prefix,number,meaning,variable,role,is_safety,x,y,layer
LS-013,LS,013,Level Switch,level,switch,False,876.82,583.51,RFCELL 1
PZ-011,PZ,011,Pressure (special / safety),pressure,sensor,True,878.42,619.28,RFCELL 1
PZ-012,PZ,012,Pressure (special / safety),pressure,sensor,True,878.44,624.09,RFCELL 1
LS-014,LS,014,Level Switch,level,switch,False,878.46,628.9,RFCELL 1
TT518,TT,518,Temperature Transmitter,temperature,sensor,False,869.67,594.39,RFCELL 1
TT519,TT,519,Temperature Transmitter,temperature,sensor,False,869.69,599.2,RFCELL 1
CF100,CF,100,CF-flange callout,mechanical,annotation,False,314.34116040000004,879.7582283843076,INVAC
CF100,CF,100,CF-flange callout,mechanical,annotation,False,312.97877730000005,813.9356727014721,INVAC
SV590,SV,590,Safety / Solenoid Valve,safety,valve,True,311.97,621.02,V502
HL572,HL,572,Heat Load annotation,heat,annotation,False,449.46,863.94,Heat loads
HL520,HL,520,Heat Load annotation,heat,annotation,False,652.87,668.9,Heat loads
HL528,HL,528,Heat Load annotation,heat,annotation,False,652.57,660.89,Heat loads
HL529,HL,529,Heat Load annotation,heat,annotation,False,660.83,641.21,Heat loads
HL519,HL,519,Heat Load annotation,heat,annotation,False,846.24,639.96,Heat loads
HL521,HL,521,Heat Load annotation,heat,annotation,False,616.47,637.54,Heat loads
HL522,HL,522,Heat Load annotation,heat,annotation,False,619.71,612.62,Heat loads
HL523,HL,523,Heat Load annotation,heat,annotation,False,709.86,625.25,Heat loads
HL524,HL,524,Heat Load annotation,heat,annotation,False,709.51,643.27,Heat loads
HL514,HL,514,Heat Load annotation,heat,annotation,False,796.24,643.85,Heat loads
HL513,HL,513,Heat Load annotation,heat,annotation,False,795.0,624.21,Heat loads
HL512,HL,512,Heat Load annotation,heat,annotation,False,886.08,612.59,Heat loads
HL559,HL,559,Heat Load annotation,heat,annotation,False,860.98,518.37,Heat loads
HL558,HL,558,Heat Load annotation,heat,annotation,False,871.78,542.71,Heat loads
HL557,HL,557,Heat Load annotation,heat,annotation,False,706.33,562.63,Heat loads
HL511,HL,511,Heat Load annotation,heat,annotation,False,889.43,637.18,Heat loads
