V_eff_m3,case,P_LIMIT_bar,P_initial_bar,dP_allowed_bar,t_avail_energy_min,t_avail_isothermal_min,basis
9.0,A_balanced_abnormal,2.0,1.2,0.8,inf,inf,linearized_RFI_placeholders
9.0,A_balanced_abnormal,3.0,1.2,1.8,inf,inf,linearized_RFI_placeholders
9.0,A_balanced_abnormal,4.0,1.2,2.8,inf,inf,linearized_RFI_placeholders
9.0,A_balanced_abnormal,5.0,1.2,3.8,inf,inf,linearized_RFI_placeholders
9.0,B_pre_HP_transient,2.0,1.2,0.8,0.962834585018294,1.6047243083638232,linearized_RFI_placeholders
9.0,B_pre_HP_transient,3.0,1.2,1.8,2.1663778162911616,3.6106296938186024,linearized_RFI_placeholders
9.0,B_pre_HP_transient,4.0,1.2,2.8,3.3699210475640284,5.616535079273381,linearized_RFI_placeholders
9.0,B_pre_HP_transient,5.0,1.2,3.8,4.573464278836896,7.62244046472816,linearized_RFI_placeholders
9.0,C_intermediate,2.0,1.2,0.8,0.23108030040439054,0.3851338340073176,linearized_RFI_placeholders
9.0,C_intermediate,3.0,1.2,1.8,0.5199306759098786,0.8665511265164645,linearized_RFI_placeholders
9.0,C_intermediate,4.0,1.2,2.8,0.8087810514153667,1.3479684190256114,linearized_RFI_placeholders
9.0,C_intermediate,5.0,1.2,3.8,1.097631426920855,1.8293857115347583,linearized_RFI_placeholders
9.0,D_peak_without_HP,2.0,1.2,0.8,0.11554015020219527,0.1925669170036588,linearized_RFI_placeholders
9.0,D_peak_without_HP,3.0,1.2,1.8,0.2599653379549393,0.43327556325823224,linearized_RFI_placeholders
9.0,D_peak_without_HP,4.0,1.2,2.8,0.40439052570768336,0.6739842095128057,linearized_RFI_placeholders
9.0,D_peak_without_HP,5.0,1.2,3.8,0.5488157134604275,0.9146928557673791,linearized_RFI_placeholders
9.0,E_peak_with_HP,2.0,1.2,0.8,inf,inf,linearized_RFI_placeholders
9.0,E_peak_with_HP,3.0,1.2,1.8,inf,inf,linearized_RFI_placeholders
9.0,E_peak_with_HP,4.0,1.2,2.8,inf,inf,linearized_RFI_placeholders
9.0,E_peak_with_HP,5.0,1.2,3.8,inf,inf,linearized_RFI_placeholders
9.0,F_shield_mitigated,2.0,1.2,0.8,inf,inf,linearized_RFI_placeholders
9.0,F_shield_mitigated,3.0,1.2,1.8,inf,inf,linearized_RFI_placeholders
9.0,F_shield_mitigated,4.0,1.2,2.8,inf,inf,linearized_RFI_placeholders
9.0,F_shield_mitigated,5.0,1.2,3.8,inf,inf,linearized_RFI_placeholders
30.0,A_balanced_abnormal,2.0,1.2,0.8,inf,inf,linearized_RFI_placeholders
30.0,A_balanced_abnormal,3.0,1.2,1.8,inf,inf,linearized_RFI_placeholders
30.0,A_balanced_abnormal,4.0,1.2,2.8,inf,inf,linearized_RFI_placeholders
30.0,A_balanced_abnormal,5.0,1.2,3.8,inf,inf,linearized_RFI_placeholders
30.0,B_pre_HP_transient,2.0,1.2,0.8,3.2094486167276464,5.349081027879412,linearized_RFI_placeholders
30.0,B_pre_HP_transient,3.0,1.2,1.8,7.221259387637205,12.035432312728675,linearized_RFI_placeholders
30.0,B_pre_HP_transient,4.0,1.2,2.8,11.233070158546761,18.721783597577936,linearized_RFI_placeholders
30.0,B_pre_HP_transient,5.0,1.2,3.8,15.24488092945632,25.408134882427202,linearized_RFI_placeholders
30.0,C_intermediate,2.0,1.2,0.8,0.7702676680146352,1.2837794466910586,linearized_RFI_placeholders
30.0,C_intermediate,3.0,1.2,1.8,1.733102253032929,2.8885037550548818,linearized_RFI_placeholders
30.0,C_intermediate,4.0,1.2,2.8,2.6959368380512228,4.493228063418705,linearized_RFI_placeholders
30.0,C_intermediate,5.0,1.2,3.8,3.6587714230695165,6.097952371782528,linearized_RFI_placeholders
30.0,D_peak_without_HP,2.0,1.2,0.8,0.3851338340073176,0.6418897233455293,linearized_RFI_placeholders
30.0,D_peak_without_HP,3.0,1.2,1.8,0.8665511265164645,1.4442518775274409,linearized_RFI_placeholders
30.0,D_peak_without_HP,4.0,1.2,2.8,1.3479684190256114,2.2466140317093526,linearized_RFI_placeholders
30.0,D_peak_without_HP,5.0,1.2,3.8,1.8293857115347583,3.048976185891264,linearized_RFI_placeholders
30.0,E_peak_with_HP,2.0,1.2,0.8,inf,inf,linearized_RFI_placeholders
30.0,E_peak_with_HP,3.0,1.2,1.8,inf,inf,linearized_RFI_placeholders
30.0,E_peak_with_HP,4.0,1.2,2.8,inf,inf,linearized_RFI_placeholders
30.0,E_peak_with_HP,5.0,1.2,3.8,inf,inf,linearized_RFI_placeholders
30.0,F_shield_mitigated,2.0,1.2,0.8,inf,inf,linearized_RFI_placeholders
30.0,F_shield_mitigated,3.0,1.2,1.8,inf,inf,linearized_RFI_placeholders
30.0,F_shield_mitigated,4.0,1.2,2.8,inf,inf,linearized_RFI_placeholders
30.0,F_shield_mitigated,5.0,1.2,3.8,inf,inf,linearized_RFI_placeholders
