V_eff_m3,case,P_LIMIT_bar,P_initial_bar,dP_allowed_bar,t_avail_energy_min,t_avail_isothermal_min,basis
120.0,A_balanced_abnormal,2.0,1.2,0.8,inf,inf,linearized_RFI_placeholders
120.0,A_balanced_abnormal,3.0,1.2,1.8,inf,inf,linearized_RFI_placeholders
120.0,A_balanced_abnormal,4.0,1.2,2.8,inf,inf,linearized_RFI_placeholders
120.0,A_balanced_abnormal,5.0,1.2,3.8,inf,inf,linearized_RFI_placeholders
120.0,B_pre_HP_transient,2.0,1.2,0.8,12.837794466910585,21.396324111517647,linearized_RFI_placeholders
120.0,B_pre_HP_transient,3.0,1.2,1.8,28.88503755054882,48.1417292509147,linearized_RFI_placeholders
120.0,B_pre_HP_transient,4.0,1.2,2.8,44.932280634187045,74.88713439031174,linearized_RFI_placeholders
120.0,B_pre_HP_transient,5.0,1.2,3.8,60.97952371782528,101.63253952970881,linearized_RFI_placeholders
120.0,C_intermediate,2.0,1.2,0.8,3.081070672058541,5.135117786764234,linearized_RFI_placeholders
120.0,C_intermediate,3.0,1.2,1.8,6.932409012131716,11.554015020219527,linearized_RFI_placeholders
120.0,C_intermediate,4.0,1.2,2.8,10.783747352204891,17.97291225367482,linearized_RFI_placeholders
120.0,C_intermediate,5.0,1.2,3.8,14.635085692278066,24.39180948713011,linearized_RFI_placeholders
120.0,D_peak_without_HP,2.0,1.2,0.8,1.5405353360292704,2.567558893382117,linearized_RFI_placeholders
120.0,D_peak_without_HP,3.0,1.2,1.8,3.466204506065858,5.7770075101097635,linearized_RFI_placeholders
120.0,D_peak_without_HP,4.0,1.2,2.8,5.3918736761024455,8.98645612683741,linearized_RFI_placeholders
120.0,D_peak_without_HP,5.0,1.2,3.8,7.317542846139033,12.195904743565055,linearized_RFI_placeholders
120.0,E_peak_with_HP,2.0,1.2,0.8,inf,inf,linearized_RFI_placeholders
120.0,E_peak_with_HP,3.0,1.2,1.8,inf,inf,linearized_RFI_placeholders
120.0,E_peak_with_HP,4.0,1.2,2.8,inf,inf,linearized_RFI_placeholders
120.0,E_peak_with_HP,5.0,1.2,3.8,inf,inf,linearized_RFI_placeholders
120.0,F_shield_mitigated,2.0,1.2,0.8,inf,inf,linearized_RFI_placeholders
120.0,F_shield_mitigated,3.0,1.2,1.8,inf,inf,linearized_RFI_placeholders
120.0,F_shield_mitigated,4.0,1.2,2.8,inf,inf,linearized_RFI_placeholders
120.0,F_shield_mitigated,5.0,1.2,3.8,inf,inf,linearized_RFI_placeholders
240.0,A_balanced_abnormal,2.0,1.2,0.8,inf,inf,linearized_RFI_placeholders
240.0,A_balanced_abnormal,3.0,1.2,1.8,inf,inf,linearized_RFI_placeholders
240.0,A_balanced_abnormal,4.0,1.2,2.8,inf,inf,linearized_RFI_placeholders
240.0,A_balanced_abnormal,5.0,1.2,3.8,inf,inf,linearized_RFI_placeholders
240.0,B_pre_HP_transient,2.0,1.2,0.8,25.67558893382117,42.79264822303529,linearized_RFI_placeholders
240.0,B_pre_HP_transient,3.0,1.2,1.8,57.77007510109764,96.2834585018294,linearized_RFI_placeholders
240.0,B_pre_HP_transient,4.0,1.2,2.8,89.86456126837409,149.7742687806235,linearized_RFI_placeholders
240.0,B_pre_HP_transient,5.0,1.2,3.8,121.95904743565056,203.26507905941762,linearized_RFI_placeholders
240.0,C_intermediate,2.0,1.2,0.8,6.162141344117082,10.270235573528469,linearized_RFI_placeholders
240.0,C_intermediate,3.0,1.2,1.8,13.864818024263432,23.108030040439054,linearized_RFI_placeholders
240.0,C_intermediate,4.0,1.2,2.8,21.567494704409782,35.94582450734964,linearized_RFI_placeholders
240.0,C_intermediate,5.0,1.2,3.8,29.270171384556132,48.78361897426022,linearized_RFI_placeholders
240.0,D_peak_without_HP,2.0,1.2,0.8,3.081070672058541,5.135117786764234,linearized_RFI_placeholders
240.0,D_peak_without_HP,3.0,1.2,1.8,6.932409012131716,11.554015020219527,linearized_RFI_placeholders
240.0,D_peak_without_HP,4.0,1.2,2.8,10.783747352204891,17.97291225367482,linearized_RFI_placeholders
240.0,D_peak_without_HP,5.0,1.2,3.8,14.635085692278066,24.39180948713011,linearized_RFI_placeholders
240.0,E_peak_with_HP,2.0,1.2,0.8,inf,inf,linearized_RFI_placeholders
240.0,E_peak_with_HP,3.0,1.2,1.8,inf,inf,linearized_RFI_placeholders
240.0,E_peak_with_HP,4.0,1.2,2.8,inf,inf,linearized_RFI_placeholders
240.0,E_peak_with_HP,5.0,1.2,3.8,inf,inf,linearized_RFI_placeholders
240.0,F_shield_mitigated,2.0,1.2,0.8,inf,inf,linearized_RFI_placeholders
240.0,F_shield_mitigated,3.0,1.2,1.8,inf,inf,linearized_RFI_placeholders
240.0,F_shield_mitigated,4.0,1.2,2.8,inf,inf,linearized_RFI_placeholders
240.0,F_shield_mitigated,5.0,1.2,3.8,inf,inf,linearized_RFI_placeholders
